Data Source,Human Capital Index,,,,,,,,,,,,,
Last Updated Date,9/21/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Turkey,TUR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6274763942,,,,,,,0.626,0.6253098845,,0.6492618322
Tuvalu,TUV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.554,0.440525651,,0.4475771189
Tanzania,TZA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.4,0.3862610757,,0.389834702
Uganda,UGA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3438110352,,,,,,,0.382,0.3821257949,,0.3841765821
Ukraine,UKR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6325885653,,,,,,,0.647,0.642378509,,0.6313871145
Uruguay,URY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5909052491,,,,,,,0.6,0.6023677588,,0.5987602472
United States,USA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6915081739,,,,,,,0.762,0.7136832476,,0.7017643452
Uzbekistan,UZB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.6228057146
St. Vincent and the Grenadines,VCT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5358645916,,0.533341825
"Venezuela, RB",VEN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
British Virgin Islands,VGB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Vietnam,VNM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.656642437,,,,,,,0.666,0.6872393489,,0.6899645329
Vanuatu,VUT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.471,0.4447503984,,0.4546585381
Samoa,WSM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5223942399,,0.5484216809
Kosovo,XKX,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.56,0.5690619946,,0.5673317313
"Yemen, Rep.",YEM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.369,0.3726362586,,0.3727844059
South Africa,ZAF,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4253383279,,,,,,,0.406,0.4225493371,,0.4254533947
Zambia,ZMB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.396,0.3911755681,,0.3969275355
Zimbabwe,ZWE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4103655219,,,,,,,0.441,0.4612415731,,0.4668931067
